tranche_age,genres_concat,primaryName,nb_films
10 - 20,ScienceFiction,Sam Lavagnino,3
10 - 20,ScienceFiction,Violet McGraw,3
10 - 20,ScienceFiction,Amie Donald,2
10 - 20,ScienceFiction,Aria Lyric Leabu,2
10 - 20,ScienceFiction,Azriel Dalman,2
10 - 20,ScienceFiction,Isabella Sermon,2
10 - 20,ScienceFiction,Mckenna Grace,2
10 - 20,ScienceFiction,Ryan Kiera Armstrong,2
10 - 20,Thriller,Brooklynn Prince,5
10 - 20,Thriller,Charlie Shotwell,5
10 - 20,Thriller,Jett Klyne,5
10 - 20,Thriller,Mckenna Grace,5
10 - 20,Thriller,Alyvia Alyn Lind,4
10 - 20,Thriller,Jacob Tremblay,4
10 - 20,Thriller,Violet Hicks,4
10 - 20,Thriller,Ava Kolker,3
10 - 20,Thriller,Christopher Convery,3
10 - 20,Thriller,Erica Tremblay,3
20 - 30,Action,Tom Holland,15
20 - 30,Action,Stuart Allan,12
20 - 30,Action,Zach Callison,11
20 - 30,Action,Dove Cameron,10
20 - 30,Action,Kamil McFadden,10
20 - 30,Action,Chloë Grace Moretz,9
20 - 30,Action,Hailee Steinfeld,9
20 - 30,Action,Tye Sheridan,8
20 - 30,Action,Ariel Winter,7
20 - 30,Action,Elle Fanning,7
20 - 30,Comedy,Chloë Grace Moretz,21
20 - 30,Comedy,Abigail Breslin,15
20 - 30,Comedy,Bella Thorne,14
20 - 30,Comedy,Alex Wolff,13
20 - 30,Comedy,Dana Gaier,12
20 - 30,Comedy,Ariel Winter,11
20 - 30,Comedy,Bailee Madison,11
20 - 30,Comedy,Elle Fanning,11
20 - 30,Comedy,Odeya Rush,11
20 - 30,Comedy,Benjamin Flores Jr.,10
20 - 30,Crime,Chloë Grace Moretz,10
20 - 30,Crime,Tye Sheridan,6
20 - 30,Crime,Bella Thorne,5
20 - 30,Crime,Abigail Breslin,4
20 - 30,Crime,Charlie Plummer,4
20 - 30,Crime,Connor Stanhope,4
20 - 30,Crime,Gattlin Griffith,4
20 - 30,Crime,Lulu Wilson,4
20 - 30,Crime,Ali Skovbye,3
20 - 30,Crime,Celeste Desjardins,3
20 - 30,Drama,Elle Fanning,25
20 - 30,Drama,Chloë Grace Moretz,22
20 - 30,Drama,Abigail Breslin,20
20 - 30,Drama,Bella Thorne,18
20 - 30,Drama,Kodi Smit-McPhee,18
20 - 30,Drama,Alex Wolff,16
20 - 30,Drama,Tye Sheridan,16
20 - 30,Drama,Odessa Young,15
20 - 30,Drama,Charlie Tahan,14
20 - 30,Drama,Kaitlyn Dever,13
20 - 30,Family,Ariel Winter,16
20 - 30,Family,Dove Cameron,15
20 - 30,Family,Bailee Madison,13
20 - 30,Family,Chloë Grace Moretz,13
20 - 30,Family,Zach Callison,13
20 - 30,Family,Dana Gaier,11
20 - 30,Family,Emily Carey,10
20 - 30,Family,Kamil McFadden,10
20 - 30,Family,Jimmy Bennett,9
20 - 30,Family,Caitlin Carmichael,8
20 - 30,Romance,Bella Thorne,8
20 - 30,Romance,Elle Fanning,8
20 - 30,Romance,Bailee Madison,7
20 - 30,Romance,Celeste Desjardins,7
20 - 30,Romance,Hero Fiennes Tiffin,7
20 - 30,Romance,Jordyn Ashley Olson,7
20 - 30,Romance,Lana Condor,7
20 - 30,Romance,Noah Centineo,7
20 - 30,Romance,Trezzo Mahoro,7
20 - 30,Romance,Austin Abrams,6
20 - 30,ScienceFiction,Tom Holland,11
20 - 30,ScienceFiction,Stuart Allan,10
20 - 30,ScienceFiction,Kamil McFadden,7
20 - 30,ScienceFiction,Tye Sheridan,7
20 - 30,ScienceFiction,Dove Cameron,6
20 - 30,ScienceFiction,Hailee Steinfeld,6
20 - 30,ScienceFiction,Kodi Smit-McPhee,6
20 - 30,ScienceFiction,Jacob Batalon,5
20 - 30,ScienceFiction,Zach Callison,5
20 - 30,ScienceFiction,Zendaya,5
20 - 30,Thriller,Bella Thorne,11
20 - 30,Thriller,Chloë Grace Moretz,11
20 - 30,Thriller,Isabelle Fuhrman,9
20 - 30,Thriller,Sydney Sweeney,9
20 - 30,Thriller,Tye Sheridan,9
20 - 30,Thriller,Abigail Breslin,8
20 - 30,Thriller,Anya Taylor-Joy,8
20 - 30,Thriller,Madison Iseman,8
20 - 30,Thriller,Odessa Young,8
20 - 30,Thriller,Grace Van Dien,7
30 - 40,Action,Tyler Posey,17
30 - 40,Action,Jamie Bell,14
30 - 40,Action,Nicholas Hoult,14
30 - 40,Action,Aaron Taylor-Johnson,13
30 - 40,Action,Jennifer Lawrence,13
30 - 40,Action,Josh Hutcherson,13
30 - 40,Action,Austin Jenkins,12
30 - 40,Action,Beau Knapp,12
30 - 40,Action,Vanessa Kirby,12
30 - 40,Action,Jai Courtney,11
30 - 40,Comedy,Michael Cera,32
30 - 40,Comedy,Zac Efron,26
30 - 40,Comedy,Emma Stone,25
30 - 40,Comedy,Vanessa Hudgens,24
30 - 40,Comedy,Emma Roberts,22
30 - 40,Comedy,Christopher Mintz-Plasse,20
30 - 40,Comedy,Alia Shawkat,19
30 - 40,Comedy,Drake Bell,19
30 - 40,Comedy,Hilary Duff,19
30 - 40,Comedy,Karan Soni,19
30 - 40,Crime,Scout Taylor-Compton,13
30 - 40,Crime,Beau Knapp,12
30 - 40,Crime,Ana de Armas,9
30 - 40,Crime,Amber Heard,8
30 - 40,Crime,Anton Yelchin,8
30 - 40,Crime,Caleb Landry Jones,8
30 - 40,Crime,Jesse Plemons,8
30 - 40,Crime,Riley Keough,8
30 - 40,Crime,Robert Pattinson,8
30 - 40,Crime,Emma Roberts,7
30 - 40,Drama,Kristen Stewart,38
30 - 40,Drama,Robert Pattinson,33
30 - 40,Drama,Imogen Poots,29
30 - 40,Drama,Elliot Page,28
30 - 40,Drama,Juno Temple,27
30 - 40,Drama,Katie Boland,27
30 - 40,Drama,Anton Yelchin,26
30 - 40,Drama,Dakota Fanning,26
30 - 40,Drama,Vanessa Hudgens,26
30 - 40,Drama,Alia Shawkat,25
30 - 40,Family,Shannon Chan-Kent,37
30 - 40,Family,Britt McKillip,24
30 - 40,Family,Drake Bell,18
30 - 40,Family,Sarah Heinke,17
30 - 40,Family,Kazumi Evans,15
30 - 40,Family,Miranda Cosgrove,15
30 - 40,Family,Freddie Highmore,14
30 - 40,Family,Selena Gomez,13
30 - 40,Family,Tyler Posey,13
30 - 40,Family,Vanessa Hudgens,13
30 - 40,Romance,Marcus Rosner,20
30 - 40,Romance,Vanessa Hudgens,17
30 - 40,Romance,Tyler Hynes,16
30 - 40,Romance,Emma Roberts,15
30 - 40,Romance,Kristen Stewart,15
30 - 40,Romance,Jessica Lowndes,14
30 - 40,Romance,Jessy Schram,14
30 - 40,Romance,Andrea Brooks,13
30 - 40,Romance,Dakota Johnson,13
30 - 40,Romance,Stephanie Bennett,13
30 - 40,ScienceFiction,Jennifer Lawrence,14
30 - 40,ScienceFiction,Karen Gillan,11
30 - 40,ScienceFiction,Nicholas Hoult,9
30 - 40,ScienceFiction,Jenna Coleman,8
30 - 40,ScienceFiction,Josh Hutcherson,8
30 - 40,ScienceFiction,John Boyega,7
30 - 40,ScienceFiction,Thomas Brodie-Sangster,7
30 - 40,ScienceFiction,Tyler Posey,7
30 - 40,ScienceFiction,Vanessa Kirby,7
30 - 40,ScienceFiction,Aaron Taylor-Johnson,6
30 - 40,Thriller,Scout Taylor-Compton,26
30 - 40,Thriller,Mischa Barton,19
30 - 40,Thriller,Beau Knapp,17
30 - 40,Thriller,AnnaLynne McCord,15
30 - 40,Thriller,Devanny Pinn,15
30 - 40,Thriller,Michael Welch,15
30 - 40,Thriller,Alexandra Essoe,13
30 - 40,Thriller,Alexandria DeBerry,13
30 - 40,Thriller,Dakota Fanning,13
30 - 40,Thriller,Anna Marie Dobbins,12
40 - 50,Action,Scott Adkins,39
40 - 50,Action,Eric Bauza,31
40 - 50,Action,Robin Atkin Downes,29
40 - 50,Action,Ryan Reynolds,29
40 - 50,Action,Troy Baker,26
40 - 50,Action,Chris Evans,25
40 - 50,Action,Rosario Dawson,25
40 - 50,Action,Chris Hemsworth,24
40 - 50,Action,Scarlett Johansson,24
40 - 50,Action,Anthony Mackie,23
40 - 50,Comedy,Eric Bauza,55
40 - 50,Comedy,Ryan Reynolds,42
40 - 50,Comedy,Seth Rogen,41
40 - 50,Comedy,Justin Long,38
40 - 50,Comedy,Ashleigh Ball,37
40 - 50,Comedy,Kevin Hart,36
40 - 50,Comedy,Lacey Chabert,35
40 - 50,Comedy,Jonah Hill,33
40 - 50,Comedy,Andrea Libman,31
40 - 50,Comedy,Kate Micucci,31
40 - 50,Crime,Colin Farrell,21
40 - 50,Crime,Simon Phillips,21
40 - 50,Crime,James Franco,17
40 - 50,Crime,Candace Cameron Bure,15
40 - 50,Crime,Michelle Rodriguez,15
40 - 50,Crime,Adam Deacon,14
40 - 50,Crime,Anthony Mackie,14
40 - 50,Crime,Emile Hirsch,14
40 - 50,Crime,Michael Peña,14
40 - 50,Crime,Ben Foster,13
40 - 50,Drama,James Franco,60
40 - 50,Drama,Colin Farrell,35
40 - 50,Drama,Anthony Mackie,32
40 - 50,Drama,Jason Ritter,32
40 - 50,Drama,Jena Malone,31
40 - 50,Drama,Joe Swanberg,31
40 - 50,Drama,Rosario Dawson,31
40 - 50,Drama,Jessica Chastain,30
40 - 50,Drama,Keira Knightley,30
40 - 50,Drama,Oscar Isaac,30
40 - 50,Family,Ashleigh Ball,66
40 - 50,Family,Eric Bauza,51
40 - 50,Family,Kelly Sheridan,42
40 - 50,Family,Andrea Libman,40
40 - 50,Family,Jessica DiCicco,34
40 - 50,Family,Troy Baker,29
40 - 50,Family,Laura Bailey,28
40 - 50,Family,Maryke Hendrikse,27
40 - 50,Family,Andrew Francis,22
40 - 50,Family,Kate Micucci,20
40 - 50,Romance,Lacey Chabert,37
40 - 50,Romance,Andrew W. Walker,25
40 - 50,Romance,Cindy Busby,24
40 - 50,Romance,Christopher Russell,23
40 - 50,Romance,Corey Sevier,22
40 - 50,Romance,Autumn Reeser,21
40 - 50,Romance,Karen Holness,20
40 - 50,Romance,Jonathan Bennett,19
40 - 50,Romance,Keira Knightley,17
40 - 50,Romance,Kirsten Dunst,17
40 - 50,ScienceFiction,Scarlett Johansson,25
40 - 50,ScienceFiction,Eric Bauza,24
40 - 50,ScienceFiction,Chris Evans,18
40 - 50,ScienceFiction,Michael Fassbender,18
40 - 50,ScienceFiction,Anthony Mackie,17
40 - 50,ScienceFiction,Chris Pratt,14
40 - 50,ScienceFiction,Chris Hemsworth,13
40 - 50,ScienceFiction,Christine Nguyen,13
40 - 50,ScienceFiction,Zoe Saldaña,12
40 - 50,ScienceFiction,Rosario Dawson,11
40 - 50,Thriller,Edward Furlong,25
40 - 50,Thriller,Jonathan Rhys Meyers,25
40 - 50,Thriller,Scott Adkins,24
40 - 50,Thriller,Cam Gigandet,23
40 - 50,Thriller,Tiffany Shepis,23
40 - 50,Thriller,Emmanuelle Vaugier,22
40 - 50,Thriller,Dominique Swain,21
40 - 50,Thriller,Sam Worthington,21
40 - 50,Thriller,Brendan Fletcher,20
40 - 50,Thriller,Colin Farrell,20
50 - 60,Action,Grey Griffin,87
50 - 60,Action,John DiMaggio,66
50 - 60,Action,Tara Strong,39
50 - 60,Action,Jason Statham,37
50 - 60,Action,Casper Van Dien,36
50 - 60,Action,Louis Mandylor,35
50 - 60,Action,Fred Tatasciore,34
50 - 60,Action,Michael Jai White,34
50 - 60,Action,Luke Goss,33
50 - 60,Action,Neal McDonough,33
50 - 60,Comedy,Grey Griffin,130
50 - 60,Comedy,John DiMaggio,66
50 - 60,Comedy,Matthew Lillard,62
50 - 60,Comedy,Tara Strong,56
50 - 60,Comedy,Seth Green,54
50 - 60,Comedy,Will Ferrell,54
50 - 60,Comedy,Phil LaMarr,52
50 - 60,Comedy,Diedrich Bader,45
50 - 60,Comedy,Fred Tatasciore,45
50 - 60,Comedy,Jack Black,45
50 - 60,Crime,Jason Statham,25
50 - 60,Crime,Shea Whigham,24
50 - 60,Crime,Noel Gugliemi,22
50 - 60,Crime,Thomas Jane,22
50 - 60,Crime,Lochlyn Munro,21
50 - 60,Crime,Neal McDonough,20
50 - 60,Crime,Johnny Messner,19
50 - 60,Crime,Clifton Collins Jr.,18
50 - 60,Crime,Eddie Marsan,17
50 - 60,Crime,Guy Pearce,17
50 - 60,Drama,Dean Cain,50
50 - 60,Drama,Naomi Watts,44
50 - 60,Drama,Lochlyn Munro,41
50 - 60,Drama,C. Thomas Howell,40
50 - 60,Drama,Michael Shannon,40
50 - 60,Drama,Eddie Marsan,39
50 - 60,Drama,Billy Zane,38
50 - 60,Drama,Terrence Howard,38
50 - 60,Drama,Josh Lucas,37
50 - 60,Drama,Joel Edgerton,36
50 - 60,Family,Grey Griffin,155
50 - 60,Family,Kathleen Barr,97
50 - 60,Family,Phil Vischer,92
50 - 60,Family,Mike Nawrocki,81
50 - 60,Family,Tara Strong,77
50 - 60,Family,Brian Drummond,66
50 - 60,Family,John DiMaggio,64
50 - 60,Family,Fred Tatasciore,54
50 - 60,Family,Kj Schrock,47
50 - 60,Family,Matthew Lillard,47
50 - 60,Romance,Brennan Elliott,19
50 - 60,Romance,Alicia Witt,18
50 - 60,Romance,Brenda Crichlow,18
50 - 60,Romance,Lochlyn Munro,18
50 - 60,Romance,Paul Rudd,18
50 - 60,Romance,Danica McKellar,17
50 - 60,Romance,Gabrielle Union,17
50 - 60,Romance,Luke Wilson,16
50 - 60,Romance,Nicole Kidman,16
50 - 60,Romance,Brian White,15
50 - 60,ScienceFiction,John DiMaggio,36
50 - 60,ScienceFiction,Grey Griffin,34
50 - 60,ScienceFiction,Tara Strong,32
50 - 60,ScienceFiction,Phil LaMarr,31
50 - 60,ScienceFiction,Fred Tatasciore,28
50 - 60,ScienceFiction,James Arnold Taylor,19
50 - 60,ScienceFiction,Hugh Jackman,18
50 - 60,ScienceFiction,Seth Green,18
50 - 60,ScienceFiction,Corin Nemec,15
50 - 60,ScienceFiction,Kathleen Barr,15
50 - 60,Thriller,Lochlyn Munro,45
50 - 60,Thriller,Billy Zane,32
50 - 60,Thriller,Jason Statham,32
50 - 60,Thriller,Louis Mandylor,32
50 - 60,Thriller,Luke Goss,31
50 - 60,Thriller,Casper Van Dien,27
50 - 60,Thriller,C. Thomas Howell,26
50 - 60,Thriller,Dean Cain,26
50 - 60,Thriller,Johnathon Schaech,26
50 - 60,Thriller,Jose Rosete,26
60 - 70,Action,Eric Roberts,84
60 - 70,Action,Dee Bradley Baker,70
60 - 70,Action,Michael Madsen,54
60 - 70,Action,Steve Blum,51
60 - 70,Action,Tom Sizemore,51
60 - 70,Action,Dolph Lundgren,49
60 - 70,Action,Michael Paré,49
60 - 70,Action,Nicolas Cage,46
60 - 70,Action,Vinnie Jones,43
60 - 70,Action,Kevin Michael Richardson,40
60 - 70,Comedy,Tom Kenny,115
60 - 70,Comedy,Dee Bradley Baker,112
60 - 70,Comedy,Jeff Bennett,90
60 - 70,Comedy,Eric Roberts,52
60 - 70,Comedy,Rob Paulsen,52
60 - 70,Comedy,Steve Coogan,51
60 - 70,Comedy,Carlos Alazraqui,49
60 - 70,Comedy,Maurice LaMarche,49
60 - 70,Comedy,David Koechner,47
60 - 70,Comedy,Kevin Michael Richardson,47
60 - 70,Crime,Eric Roberts,43
60 - 70,Crime,Vinnie Jones,31
60 - 70,Crime,Michael Madsen,28
60 - 70,Crime,Nicolas Cage,26
60 - 70,Crime,Tom Sizemore,24
60 - 70,Crime,Val Kilmer,22
60 - 70,Crime,John Leguizamo,21
60 - 70,Crime,Keith David,20
60 - 70,Crime,Ving Rhames,20
60 - 70,Crime,Vivica A. Fox,20
60 - 70,Drama,Eric Roberts,118
60 - 70,Drama,Tom Sizemore,58
60 - 70,Drama,Michael Madsen,57
60 - 70,Drama,Melissa Leo,51
60 - 70,Drama,Clifton Powell,49
60 - 70,Drama,Vivica A. Fox,48
60 - 70,Drama,Keith David,47
60 - 70,Drama,Julianne Moore,43
60 - 70,Drama,Forest Whitaker,38
60 - 70,Drama,Marcia Gay Harden,38
60 - 70,Family,Jeff Bennett,159
60 - 70,Family,Dee Bradley Baker,144
60 - 70,Family,Tom Kenny,123
60 - 70,Family,Rob Paulsen,86
60 - 70,Family,Tabitha St. Germain,71
60 - 70,Family,Carlos Alazraqui,53
60 - 70,Family,Scott McNeil,53
60 - 70,Family,Kevin Michael Richardson,49
60 - 70,Family,Keith Wickham,43
60 - 70,Family,Maurice LaMarche,41
60 - 70,Romance,Vivica A. Fox,31
60 - 70,Romance,Colin Firth,22
60 - 70,Romance,Clifton Powell,20
60 - 70,Romance,Eric Roberts,19
60 - 70,Romance,Alec Baldwin,17
60 - 70,Romance,Jackée Harry,17
60 - 70,Romance,Tom Arnold,17
60 - 70,Romance,Michael Kopsa,16
60 - 70,Romance,Patricia Clarkson,16
60 - 70,Romance,Antonio Banderas,15
60 - 70,ScienceFiction,Dee Bradley Baker,60
60 - 70,ScienceFiction,Steve Blum,41
60 - 70,ScienceFiction,Eric Roberts,26
60 - 70,ScienceFiction,Kevin Michael Richardson,26
60 - 70,ScienceFiction,Tom Kenny,26
60 - 70,ScienceFiction,Rob Paulsen,24
60 - 70,ScienceFiction,Jeff Bennett,22
60 - 70,ScienceFiction,Robert Downey Jr.,21
60 - 70,ScienceFiction,Michael Paré,16
60 - 70,ScienceFiction,Scott McNeil,16
60 - 70,Thriller,Eric Roberts,110
60 - 70,Thriller,Michael Madsen,60
60 - 70,Thriller,Tom Sizemore,56
60 - 70,Thriller,Michael Paré,53
60 - 70,Thriller,Vivica A. Fox,49
60 - 70,Thriller,Nicolas Cage,43
60 - 70,Thriller,Vinnie Jones,39
60 - 70,Thriller,Bill Oberst Jr.,35
60 - 70,Thriller,Dolph Lundgren,33
60 - 70,Thriller,Val Kilmer,32
70 - 80,Action,Bruce Willis,56
70 - 80,Action,Steven Seagal,49
70 - 80,Action,Samuel L. Jackson,44
70 - 80,Action,Ron Perlman,37
70 - 80,Action,Martin Kove,31
70 - 80,Action,Jeff Fahey,29
70 - 80,Action,Michael Ironside,28
70 - 80,Action,Mickey Rourke,27
70 - 80,Action,Liam Neeson,26
70 - 80,Action,Tom Berenger,26
70 - 80,Comedy,Frank Welker,125
70 - 80,Comedy,Richard Riehle,58
70 - 80,Comedy,Tress MacNeille,58
70 - 80,Comedy,Billy West,52
70 - 80,Comedy,Jim Cummings,49
70 - 80,Comedy,J.K. Simmons,40
70 - 80,Comedy,Corbin Bernsen,34
70 - 80,Comedy,Susan Sarandon,31
70 - 80,Comedy,Bill Nighy,30
70 - 80,Comedy,Corey Burton,30
70 - 80,Crime,Bruce Willis,39
70 - 80,Crime,Ray Liotta,31
70 - 80,Crime,Samuel L. Jackson,29
70 - 80,Crime,Steven Seagal,28
70 - 80,Crime,Armand Assante,23
70 - 80,Crime,Stephen McHattie,22
70 - 80,Crime,Willem Dafoe,21
70 - 80,Crime,Mickey Rourke,19
70 - 80,Crime,Ron Perlman,19
70 - 80,Crime,James Russo,18
70 - 80,Drama,Brian Cox,50
70 - 80,Drama,Danny Glover,50
70 - 80,Drama,Willem Dafoe,50
70 - 80,Drama,David Strathairn,44
70 - 80,Drama,Richard Riehle,44
70 - 80,Drama,Bruce Davison,42
70 - 80,Drama,Ciarán Hinds,41
70 - 80,Drama,Tom Wilkinson,41
70 - 80,Drama,J.K. Simmons,40
70 - 80,Drama,Jim Broadbent,40
70 - 80,Family,Frank Welker,136
70 - 80,Family,Jim Cummings,80
70 - 80,Family,Tress MacNeille,57
70 - 80,Family,William Hope,52
70 - 80,Family,Corey Burton,50
70 - 80,Family,Jeff Fatt,41
70 - 80,Family,Bill Farmer,40
70 - 80,Family,Garry Chalk,36
70 - 80,Family,Joe Alaskey,30
70 - 80,Family,Billy West,28
70 - 80,Romance,Corbin Bernsen,19
70 - 80,Romance,Art Hindle,18
70 - 80,Romance,Bill Nighy,18
70 - 80,Romance,Diane Keaton,18
70 - 80,Romance,Jay Brazeau,18
70 - 80,Romance,J.K. Simmons,17
70 - 80,Romance,Jayne Eastwood,17
70 - 80,Romance,Tom Wilkinson,17
70 - 80,Romance,Susan Sarandon,16
70 - 80,Romance,Jane Seymour,14
70 - 80,ScienceFiction,Billy West,25
70 - 80,ScienceFiction,Corey Burton,20
70 - 80,ScienceFiction,Kevin Conroy,18
70 - 80,ScienceFiction,Michael Ironside,17
70 - 80,ScienceFiction,Robert Picardo,16
70 - 80,ScienceFiction,Tress MacNeille,16
70 - 80,ScienceFiction,Frank Welker,15
70 - 80,ScienceFiction,Samuel L. Jackson,15
70 - 80,ScienceFiction,Bruce Boxleitner,13
70 - 80,ScienceFiction,Dwight Schultz,11
70 - 80,Thriller,Bruce Willis,56
70 - 80,Thriller,Steven Seagal,40
70 - 80,Thriller,Michael Ironside,37
70 - 80,Thriller,Tony Todd,34
70 - 80,Thriller,Richard Riehle,33
70 - 80,Thriller,Ron Perlman,33
70 - 80,Thriller,Bruce Davison,32
70 - 80,Thriller,Armand Assante,31
70 - 80,Thriller,James Russo,31
70 - 80,Thriller,Stephen McHattie,29
80 - 90,Action,Danny Trejo,81
80 - 90,Action,Lance Henriksen,32
80 - 90,Action,Vernon Wells,26
80 - 90,Action,Ben Kingsley,23
80 - 90,Action,David Carradine,23
80 - 90,Action,Morgan Freeman,23
80 - 90,Action,John Rhys-Davies,21
80 - 90,Action,Robert Miano,20
80 - 90,Action,Gary Busey,18
80 - 90,Action,Ian McShane,17
80 - 90,Comedy,Lloyd Kaufman,59
80 - 90,Comedy,Danny Trejo,47
80 - 90,Comedy,John Cleese,37
